epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6559,1.04799,6.32336,0.01678,0.01056,0.35837,0.02412,0.01894,0.71788,3.71616,0.01373,7.53875e-05,7.53875e-05,7.53875e-05
2,60.8552,0.92687,5.71714,0.01448,0.65465,0.06699,0.0665,0.05033,0.69425,3.17577,0.01312,0.000150057,0.000150057,0.000150057
3,88.7124,0.91377,5.12978,0.0139,0.45349,0.16151,0.137,0.10733,0.67763,2.72687,0.01266,0.000223728,0.000223728,0.000223728
4,116.382,0.93418,4.64213,0.01444,0.33772,0.26112,0.24627,0.19866,0.72625,2.343,0.01374,0.000222505,0.000222505,0.000222505
5,144.144,0.93436,4.23821,0.0141,0.43849,0.31879,0.33439,0.27307,0.74562,2.01793,0.01416,0.000221007,0.000221007,0.000221007
6,171.736,0.92747,3.88271,0.01397,0.39413,0.46151,0.42664,0.35733,0.69565,1.82988,0.01294,0.000219509,0.000219509,0.000219509
7,199.363,0.90783,3.64918,0.01359,0.39728,0.4606,0.47725,0.3973,0.71034,1.63706,0.01309,0.000218011,0.000218011,0.000218011
8,227.081,0.91193,3.39551,0.01392,0.47199,0.51627,0.55008,0.46615,0.67684,1.50888,0.01263,0.000216513,0.000216513,0.000216513
9,255.074,0.89863,3.22981,0.01353,0.44346,0.59228,0.59602,0.50493,0.6727,1.40991,0.01234,0.000215014,0.000215014,0.000215014
10,283.682,0.91089,3.06887,0.01378,0.49257,0.61536,0.63099,0.5295,0.702,1.31693,0.01281,0.000213516,0.000213516,0.000213516
11,313.194,0.90594,2.94701,0.01391,0.50962,0.64912,0.66698,0.57056,0.66724,1.20773,0.01236,0.000212018,0.000212018,0.000212018
12,342.889,0.86613,2.7357,0.013,0.5373,0.65436,0.67809,0.57022,0.69435,1.22428,0.01272,0.00021052,0.00021052,0.00021052
13,371.826,0.89935,2.66932,0.01359,0.56558,0.68784,0.71858,0.60607,0.67772,1.14044,0.01236,0.000209022,0.000209022,0.000209022
