epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.8653,1.01259,6.13922,0.01603,0.66607,0.07982,0.05391,0.04207,0.76108,3.31407,0.01471,0.0099631,0.00332103,0.0099631,0.00332103,0.0099631,0.00332103,0.0099631,0.00332103
2,77.388,1.03345,5.18024,0.01624,0.2183,0.23553,0.17978,0.13542,0.90523,2.69525,0.01683,0.0199626,0.00665419,0.0199626,0.00665419,0.0199626,0.00665419,0.0199626,0.00665419
3,104.171,1.12752,4.43444,0.0174,0.35655,0.37634,0.32342,0.25004,0.89039,2.41352,0.01746,0.0299598,0.00998662,0.0299598,0.00998662,0.0299598,0.00998662,0.0299598,0.00998662
4,130.086,1.17471,3.9443,0.01841,0.35847,0.35046,0.31947,0.23489,0.99659,2.13991,0.02044,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,155.899,1.18203,3.36426,0.01837,0.42491,0.43896,0.46333,0.34309,0.9392,1.76702,0.01917,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,181.353,1.16032,2.82831,0.01776,0.47995,0.5254,0.52191,0.38312,0.95717,1.67175,0.01908,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,206.828,1.14009,2.42568,0.01765,0.4861,0.58348,0.61906,0.47539,0.90901,1.4152,0.01755,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,232.199,1.12417,2.25082,0.01754,0.55097,0.59962,0.64525,0.48763,0.94,1.32722,0.01848,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,257.754,1.13281,2.07412,0.01753,0.58861,0.6232,0.67583,0.52833,0.89133,1.27825,0.01716,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,283.337,1.11591,1.98273,0.01745,0.58201,0.63986,0.69229,0.56331,0.78395,1.19781,0.01498,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,309.151,1.10605,1.93893,0.01729,0.64939,0.72881,0.78225,0.62377,0.82312,1.02427,0.01632,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,335.069,1.07861,1.76694,0.01655,0.64552,0.68678,0.77158,0.61202,0.85521,1.01442,0.01685,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,361,1.08854,1.74522,0.0169,0.66852,0.73793,0.80932,0.64438,0.82976,0.92875,0.01626,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,386.919,1.06727,1.65719,0.01619,0.69729,0.77678,0.84332,0.68673,0.78402,0.80978,0.01505,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,412.474,1.0853,1.63508,0.01675,0.74542,0.72164,0.82696,0.66442,0.83355,0.90275,0.01607,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,437.931,1.06053,1.58595,0.01643,0.66186,0.71751,0.77532,0.61625,0.8485,1.0012,0.01659,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,463.57,1.06281,1.50773,0.0161,0.73542,0.78105,0.8709,0.71515,0.76981,0.81978,0.015,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,489.126,1.0578,1.45264,0.01605,0.75173,0.7428,0.84955,0.69496,0.78739,0.76654,0.01485,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,514.576,1.04662,1.45754,0.01598,0.77777,0.82347,0.88582,0.71474,0.79055,0.71541,0.01537,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,540.238,1.04488,1.4048,0.0161,0.75918,0.7863,0.86657,0.71273,0.77827,0.72944,0.01491,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,565.952,1.04018,1.38681,0.01588,0.7992,0.81539,0.88387,0.7216,0.77705,0.71439,0.0151,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,591.726,1.03543,1.36048,0.01586,0.77552,0.81635,0.8875,0.71602,0.79844,0.71319,0.01537,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,617.483,1.04176,1.36668,0.01586,0.82591,0.81091,0.91039,0.74166,0.78883,0.65496,0.01508,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,643.093,1.04503,1.31471,0.01598,0.89156,0.79762,0.91204,0.74329,0.78535,0.61134,0.01543,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,668.976,1.01527,1.31267,0.0155,0.84843,0.86177,0.92245,0.76022,0.76101,0.55553,0.01445,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,694.776,1.01004,1.3069,0.01543,0.81581,0.88496,0.92463,0.74699,0.79087,0.55517,0.0149,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,720.418,1.0216,1.29702,0.0157,0.83674,0.84597,0.93044,0.76003,0.79455,0.60203,0.01519,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,745.701,1.02553,1.24699,0.01575,0.85005,0.84918,0.93223,0.75718,0.79135,0.58438,0.01532,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,771.022,1.01946,1.23031,0.01549,0.86518,0.85961,0.93551,0.77049,0.76859,0.52998,0.01468,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,796.439,1.00789,1.18762,0.01535,0.85948,0.84348,0.92371,0.75716,0.79199,0.56769,0.01523,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,821.74,0.98948,1.19525,0.01493,0.87133,0.86634,0.94598,0.77145,0.75849,0.58222,0.01432,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,846.813,1.00884,1.23591,0.0154,0.8463,0.86502,0.94131,0.77091,0.77339,0.59658,0.01473,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,872.175,0.99995,1.19813,0.01519,0.87781,0.84559,0.93539,0.77306,0.75403,0.55619,0.01452,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,897.891,0.98332,1.14057,0.01517,0.88378,0.88558,0.95506,0.77575,0.77016,0.48578,0.01474,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,923.389,0.99892,1.16578,0.01509,0.88584,0.85085,0.9283,0.7645,0.77081,0.5278,0.01499,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,948.889,0.98677,1.15869,0.01496,0.86738,0.85252,0.94295,0.77992,0.73526,0.53638,0.01383,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
